"","Year","Rent","PropertyType","Location.x","NumberofBedrooms","Location.y","CPI","Price.Rent.Ratio","VacancyRate","HousingStock"
"906",2009,956.89,"Apartment","Stoneybatter, Dublin 7","All bedrooms","Stoneybatter, Dublin 7",45.21,150.8,"0",1982000
"907",2009,968.4,"Apartment","Kimmage, Dublin 12","All bedrooms","Kimmage, Dublin 12",45.21,150.8,"0",1982000
"908",2009,968.4,"Apartment","Kimmage, Dublin 12","1 to 3 bed","Kimmage, Dublin 12",45.21,150.8,"0",1982000
"909",2009,968.53,"Apartment","Tallaght, Dublin 24","All bedrooms","Tallaght, Dublin 24",45.21,150.8,"0",1982000
"910",2009,973.91,"Apartment","Skerries, Dublin","1 to 3 bed","Skerries, Dublin",45.21,150.8,"0",1982000
"911",2009,973.91,"Apartment","Skerries, Dublin","All bedrooms","Skerries, Dublin",45.21,150.8,"0",1982000
"912",2009,978.23,"Apartment","Rathgar, Dublin 6","All bedrooms","Rathgar, Dublin 6",45.21,150.8,"0",1982000
"913",2009,979.45,"Apartment","Clondalkin, Dublin 22","All bedrooms","Clondalkin, Dublin 22",45.21,150.8,"0",1982000
"914",2009,979.95,"Apartment","Ongar, Dublin 15","All bedrooms","Ongar, Dublin 15",45.21,150.8,"0",1982000
"915",2009,979.95,"Apartment","Ongar, Dublin 15","1 to 3 bed","Ongar, Dublin 15",45.21,150.8,"0",1982000
"916",2009,981.28,"Apartment","Crumlin, Dublin 12","All bedrooms","Crumlin, Dublin 12",45.21,150.8,"0",1982000
"917",2009,981.76,"Terrace house","Balbriggan, Dublin","All bedrooms","Balbriggan, Dublin",45.21,150.8,"0",1982000
"918",2009,982.78,"Apartment","Clonsilla, Dublin 15","All bedrooms","Clonsilla, Dublin 15",45.21,150.8,"0",1982000
"919",2009,986.04,"Apartment","Killester, Dublin 5","All bedrooms","Killester, Dublin 5",45.21,150.8,"0",1982000
"920",2009,989.5,"Apartment","Walkinstown, Dublin 12","All bedrooms","Walkinstown, Dublin 12",45.21,150.8,"0",1982000
"921",2009,989.5,"Apartment","Walkinstown, Dublin 12","1 to 3 bed","Walkinstown, Dublin 12",45.21,150.8,"0",1982000
"922",2009,992.83,"Apartment","Dublin 24","All bedrooms","Dublin 24",45.21,150.8,"0",1982000
"923",2009,995.44,"Apartment","Coolmine, Dublin 15","All bedrooms","Coolmine, Dublin 15",45.21,150.8,"0",1982000
"924",2009,995.44,"Apartment","Coolmine, Dublin 15","1 to 3 bed","Coolmine, Dublin 15",45.21,150.8,"0",1982000
"925",2009,999.25,"Apartment","Cherry Orchard, Dublin 10","All bedrooms","Cherry Orchard, Dublin 10",45.21,150.8,"0",1982000
"926",2009,999.25,"Apartment","Cherry Orchard, Dublin 10","1 to 3 bed","Cherry Orchard, Dublin 10",45.21,150.8,"0",1982000
"927",2010,1000.06,"Semi detached house","Dublin 10","All bedrooms","Dublin 10",44.78,128.9,"0",1992000
"928",2010,1000.65,"Apartment","Clontarf, Dublin 3","All bedrooms","Clontarf, Dublin 3",44.78,128.9,"0",1992000
"929",2010,1001.72,"Terrace house","Stoneybatter, Dublin 7","All bedrooms","Stoneybatter, Dublin 7",44.78,128.9,"0",1992000
"930",2010,1003.79,"Terrace house","Finglas, Dublin 11","All bedrooms","Finglas, Dublin 11",44.78,128.9,"0",1992000
"931",2010,1004.96,"Semi detached house","Finglas, Dublin 11","All bedrooms","Finglas, Dublin 11",44.78,128.9,"0",1992000
"932",2010,1008.21,"Apartment","Stepaside, Dublin","All bedrooms","Stepaside, Dublin",44.78,128.9,"0",1992000
"933",2010,1008.21,"Apartment","Stepaside, Dublin","1 to 3 bed","Stepaside, Dublin",44.78,128.9,"0",1992000
"934",2010,1009.42,"Terrace house","Cabra, Dublin 7","All bedrooms","Cabra, Dublin 7",44.78,128.9,"0",1992000
"935",2010,1010.35,"Terrace house","Dublin 24","All bedrooms","Dublin 24",44.78,128.9,"0",1992000
"936",2010,1010.36,"Apartment","Rathfarnham, Dublin 14","All bedrooms","Rathfarnham, Dublin 14",44.78,128.9,"0",1992000
"937",2010,1010.92,"Terrace house","Dublin 15","All bedrooms","Dublin 15",44.78,128.9,"0",1992000
"938",2010,1012.6,"Semi detached house","Crumlin, Dublin 12","All bedrooms","Crumlin, Dublin 12",44.78,128.9,"0",1992000
"939",2010,1013.33,"Apartment","Tara Street, Dublin 2","1 to 2 bed","Tara Street, Dublin 2",44.78,128.9,"0",1992000
"940",2010,1013.33,"Apartment","Tara Street, Dublin 2","1 to 3 bed","Tara Street, Dublin 2",44.78,128.9,"0",1992000
"941",2010,1013.33,"Apartment","Tara Street, Dublin 2","All bedrooms","Tara Street, Dublin 2",44.78,128.9,"0",1992000
"942",2010,1013.71,"Apartment","Dublin 1","All bedrooms","Dublin 1",44.78,128.9,"0",1992000
"943",2010,1016.93,"Semi detached house","Stoneybatter, Dublin 7","All bedrooms","Stoneybatter, Dublin 7",44.78,128.9,"0",1992000
"944",2010,1017.21,"Semi detached house","Tallaght, Dublin 24","All bedrooms","Tallaght, Dublin 24",44.78,128.9,"0",1992000
"945",2010,1019.73,"Apartment","Stepaside, Dublin 18","1 to 3 bed","Stepaside, Dublin 18",44.78,128.9,"0",1992000
"946",2010,1019.73,"Apartment","Stepaside, Dublin 18","All bedrooms","Stepaside, Dublin 18",44.78,128.9,"0",1992000
"947",2010,1020.11,"Apartment","Castleknock, Dublin 15","All bedrooms","Castleknock, Dublin 15",44.78,128.9,"0",1992000
