PropertyType,Location,Year,Rent,CPI,Price-Rent-Ratio,VacancyRate,HousingStock
Semi detached house,"Firhouse, Dublin 24",2008,1244.95,47.33,123.4,0,1960000
Semi detached house,"Tallaght, Dublin 24",2008,1248.69,47.33,123.4,0,1960000
Terrace house,Dublin,2008,1270.66,47.33,123.4,0,1960000
Terrace house,"Balbriggan, Dublin",2008,1074.81,47.33,123.4,0,1960000
Terrace house,"Blackrock, Dublin",2008,1513.14,47.33,123.4,0,1960000
Terrace house,"Booterstown, Dublin",2008,0,47.33,123.4,0,1960000
Terrace house,"Dalkey, Dublin",2008,0,47.33,123.4,0,1960000
Terrace house,"Dun Laoghaire, Dublin",2008,1285.73,47.33,123.4,0,1960000
Terrace house,"Killiney, Dublin",2008,0,47.33,123.4,0,1960000
Terrace house,"Lucan, Dublin",2008,1206.76,47.33,123.4,0,1960000
Terrace house,"Lusk, Dublin",2008,1164.17,47.33,123.4,0,1960000
Terrace house,"Malahide, Dublin",2008,1577.66,47.33,123.4,0,1960000
Terrace house,"Monkstown, Dublin",2008,1310.03,47.33,123.4,0,1960000
Terrace house,"Rush, Dublin",2008,0,47.33,123.4,0,1960000
Terrace house,"Saggart, Dublin",2008,0,47.33,123.4,0,1960000
Terrace house,"Sandycove, Dublin",2008,0,47.33,123.4,0,1960000
Terrace house,"Shankill, Dublin",2008,0,47.33,123.4,0,1960000
Terrace house,"Skerries, Dublin",2008,1086.36,47.33,123.4,0,1960000
Terrace house,"Stillorgan, Dublin",2008,1568.47,47.33,123.4,0,1960000
Terrace house,"Swords, Dublin",2008,1204.36,47.33,123.4,0,1960000
Terrace house,Dublin 1,2008,1157.3,47.33,123.4,0,1960000
Terrace house,Dublin 2,2008,1711.47,47.33,123.4,0,1960000
Terrace house,Dublin 3,2008,1291.41,47.33,123.4,0,1960000
Terrace house,"Clonliffe, Dublin 3",2008,0,47.33,123.4,0,1960000
Terrace house,"Clontarf, Dublin 3",2008,1456.73,47.33,123.4,0,1960000
Terrace house,"Drumcondra, Dublin 3",2008,0,47.33,123.4,0,1960000
Terrace house,"East Wall, Dublin 3",2008,1180.23,47.33,123.4,0,1960000
Terrace house,"Eastwall, Dublin 3",2008,0,47.33,123.4,0,1960000
Terrace house,"Fairview, Dublin 3",2008,1237.85,47.33,123.4,0,1960000
Terrace house,"Marino, Dublin 3",2008,0,47.33,123.4,0,1960000
Terrace house,"North Strand, Dublin 3",2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 4,2008,1708.09,47.33,123.4,0,1960000
Terrace house,"Ballsbridge, Dublin 4",2008,1904.3,47.33,123.4,0,1960000
Terrace house,"Donnybrook, Dublin 4",2008,1725.14,47.33,123.4,0,1960000
Terrace house,"Irishtown, Dublin 4",2008,0,47.33,123.4,0,1960000
Terrace house,"Ringsend, Dublin 4",2008,1437.58,47.33,123.4,0,1960000
Terrace house,"Sandymount, Dublin 4",2008,1723.2,47.33,123.4,0,1960000
Terrace house,Dublin 5,2008,1314.51,47.33,123.4,0,1960000
Terrace house,"Artane, Dublin 5",2008,1273.52,47.33,123.4,0,1960000
Terrace house,"Killester, Dublin 5",2008,0,47.33,123.4,0,1960000
Terrace house,"Raheny, Dublin 5",2008,1318.56,47.33,123.4,0,1960000
Terrace house,Dublin 6,2008,1585.43,47.33,123.4,0,1960000
Terrace house,"Harolds Cross, Dublin 6",2008,1380.56,47.33,123.4,0,1960000
Terrace house,"Milltown, Dublin 6",2008,0,47.33,123.4,0,1960000
Terrace house,"Ranelagh, Dublin 6",2008,1785.92,47.33,123.4,0,1960000
Terrace house,"Rathgar, Dublin 6",2008,1625.7,47.33,123.4,0,1960000
Terrace house,"Rathmines, Dublin 6",2008,1326.84,47.33,123.4,0,1960000
Terrace house,"Terenure, Dublin 6",2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 6W,2008,1504.89,47.33,123.4,0,1960000
Terrace house,"Harolds Cross, Dublin 6W",2008,1476.42,47.33,123.4,0,1960000
Terrace house,"Terenure, Dublin 6W",2008,1530.05,47.33,123.4,0,1960000
Terrace house,Dublin 7,2008,1221.66,47.33,123.4,0,1960000
Terrace house,"Arbour Hill, Dublin 7",2008,0,47.33,123.4,0,1960000
Terrace house,"Cabra, Dublin 7",2008,1193.31,47.33,123.4,0,1960000
Terrace house,"Navan Road, Dublin 7",2008,0,47.33,123.4,0,1960000
Terrace house,"North Circular Road, Dublin 7",2008,0,47.33,123.4,0,1960000
Terrace house,"Phibsboro, Dublin 7",2008,1181.27,47.33,123.4,0,1960000
Terrace house,"Smithfield, Dublin 7",2008,0,47.33,123.4,0,1960000
Terrace house,"Stoneybatter, Dublin 7",2008,1280.97,47.33,123.4,0,1960000
Terrace house,Dublin 8,2008,1273.56,47.33,123.4,0,1960000
Terrace house,"Inchicore, Dublin 8",2008,1263.65,47.33,123.4,0,1960000
Terrace house,"Kilmainham , Dublin 8",2008,1299.53,47.33,123.4,0,1960000
Terrace house,"Portobello, Dublin 8",2008,1327.72,47.33,123.4,0,1960000
Terrace house,"Rialto, Dublin 8",2008,0,47.33,123.4,0,1960000
Terrace house,"South Circular Road, Dublin 8",2008,1351.14,47.33,123.4,0,1960000
Terrace house,"The Coombe, Dublin 8",2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 9,2008,1334.06,47.33,123.4,0,1960000
Terrace house,"Beaumont, Dublin 9",2008,0,47.33,123.4,0,1960000
Terrace house,"Drumcondra, Dublin 9",2008,1412.89,47.33,123.4,0,1960000
Terrace house,"Glasnevin, Dublin 9",2008,0,47.33,123.4,0,1960000
Terrace house,"Santry, Dublin 9",2008,0,47.33,123.4,0,1960000
Terrace house,"Whitehall, Dublin 9",2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 10,2008,1084.97,47.33,123.4,0,1960000
Terrace house,"Ballyfermot, Dublin 10",2008,1126.81,47.33,123.4,0,1960000
Terrace house,Dublin 11,2008,1233.23,47.33,123.4,0,1960000
Terrace house,"Finglas, Dublin 11",2008,1206.81,47.33,123.4,0,1960000
Terrace house,"Glasnevin, Dublin 11",2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 12,2008,1270.6,47.33,123.4,0,1960000
