PropertyType,NumberofRoom,Location,2008,2009,2010,2011,2012,2013,2014,2015
Detached house,Two bed,"Carrickmines, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Two bed,"Foxrock, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Two bed,"Leopardstown, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Two bed,"Sandyford, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Two bed,"Stepaside, Dublin 18",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 20,0,0,0,0,0,0,0,0
Detached house,Two bed,"Chapelizod, Dublin 20",0,0,0,0,0,0,0,0
Detached house,Two bed,"Palmerstown, Dublin 20",0,0,0,0,0,0,0,0
Detached house,Two bed,"Clondalkin, Dublin 22",0,0,0,0,0,0,0,0
Detached house,Two bed,Dublin 24,0,0,0,0,0,0,0,0
Detached house,Two bed,"Ballycullen, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Two bed,"Citywest, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Two bed,"Firhouse, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Two bed,"Tallaght, Dublin 24",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin,1567.54,1468.44,1454.79,1458.52,1491.83,1507.05,1525.03,1573.11
Detached house,Three bed,"Balbriggan, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Blackrock, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Booterstown, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Cabinteely, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Citywest, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Dalkey, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Donabate, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Dun Laoghaire, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Glenageary, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Howth, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Killiney, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Kinsealy, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Lucan, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Lusk, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Malahide, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Monkstown, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Mount Merrion, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Portmarnock, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Rathcoole, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Rush, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Saggart, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Sandycove, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Shankill, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Skerries, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Stepaside, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Stillorgan, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,"Swords, Dublin",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 1,0,0,0,0,0,0,0,0
