Year,Location,PropertyType,NumberofBedrooms,VacancyRate,CPI,Price.Rent.Ratio,HousingStock,Rent
2008,Dublin 12,Other flats,1 to 3 bed,0,47.33,123.4,1960000,696.71
2008,Dublin 13,Apartment,All bedrooms,0,47.33,123.4,1960000,1210.63
2008,Dublin 13,Terrace house,All bedrooms,0,47.33,123.4,1960000,1327.24
2008,Dublin 13,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1338.02
2008,Dublin 13,Detached house,All bedrooms,0,47.33,123.4,1960000,1564.52
2008,Dublin 14,Apartment,All bedrooms,0,47.33,123.4,1960000,1399.08
2008,Dublin 14,Terrace house,All bedrooms,0,47.33,123.4,1960000,1501.94
2008,Dublin 14,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1658.91
2008,Dublin 14,Detached house,All bedrooms,0,47.33,123.4,1960000,1943.25
2008,Dublin 15,Apartment,All bedrooms,0,47.33,123.4,1960000,1186.61
2008,Dublin 15,Terrace house,All bedrooms,0,47.33,123.4,1960000,1203.77
2008,Dublin 15,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1268.4
2008,Dublin 15,Detached house,All bedrooms,0,47.33,123.4,1960000,1335.28
2008,Dublin 16,Apartment,All bedrooms,0,47.33,123.4,1960000,1352.69
2008,Dublin 16,Terrace house,All bedrooms,0,47.33,123.4,1960000,1356.82
2008,Dublin 16,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1457.62
2008,Dublin 16,Detached house,All bedrooms,0,47.33,123.4,1960000,1600.9
2008,Dublin 17,Apartment,All bedrooms,0,47.33,123.4,1960000,1192.89
2008,Dublin 17,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1199.69
2008,Dublin 18,Apartment,All bedrooms,0,47.33,123.4,1960000,1394.99
2008,Dublin 18,Terrace house,All bedrooms,0,47.33,123.4,1960000,1511.84
2008,Dublin 18,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1575.87
2008,Dublin 18,Detached house,All bedrooms,0,47.33,123.4,1960000,2129.25
2008,Dublin 2,Apartment,All bedrooms,0,47.33,123.4,1960000,1433.62
2008,Dublin 2,Terrace house,All bedrooms,0,47.33,123.4,1960000,1711.47
2008,Dublin 2,Other flats,All bedrooms,0,47.33,123.4,1960000,917.66
2008,Dublin 20,Apartment,All bedrooms,0,47.33,123.4,1960000,1158.01
2008,Dublin 20,Terrace house,All bedrooms,0,47.33,123.4,1960000,1179.29
2008,Dublin 20,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1252.61
2008,Dublin 24,Apartment,All bedrooms,0,47.33,123.4,1960000,1137.78
2008,Dublin 24,Terrace house,All bedrooms,0,47.33,123.4,1960000,1218.26
2008,Dublin 24,Detached house,All bedrooms,0,47.33,123.4,1960000,1224.04
2008,Dublin 24,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1259.29
2008,Dublin 3,Apartment,All bedrooms,0,47.33,123.4,1960000,1234.44
2008,Dublin 3,Terrace house,All bedrooms,0,47.33,123.4,1960000,1291.41
2008,Dublin 3,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1390.91
2008,Dublin 3,Other flats,All bedrooms,0,47.33,123.4,1960000,730.22
2008,Dublin 4,Apartment,All bedrooms,0,47.33,123.4,1960000,1473.06
2008,Dublin 4,Terrace house,All bedrooms,0,47.33,123.4,1960000,1708.09
2008,Dublin 4,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1927.29
2008,Dublin 4,Detached house,All bedrooms,0,47.33,123.4,1960000,2349.9
2008,Dublin 4,Other flats,1 to 3 bed,0,47.33,123.4,1960000,861.24
2008,Dublin 4,Other flats,All bedrooms,0,47.33,123.4,1960000,861.24
2008,Dublin 5,Apartment,All bedrooms,0,47.33,123.4,1960000,1251.97
2008,Dublin 5,Terrace house,All bedrooms,0,47.33,123.4,1960000,1314.51
2008,Dublin 5,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1345.46
2008,Dublin 6,Apartment,All bedrooms,0,47.33,123.4,1960000,1215.48
2008,Dublin 6,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1544.54
2008,Dublin 6,Terrace house,All bedrooms,0,47.33,123.4,1960000,1585.43
2008,Dublin 6,Detached house,All bedrooms,0,47.33,123.4,1960000,1950.48
2008,Dublin 6,Other flats,All bedrooms,0,47.33,123.4,1960000,757.66
2008,Dublin 6W,Apartment,All bedrooms,0,47.33,123.4,1960000,1225.58
2008,Dublin 6W,Terrace house,All bedrooms,0,47.33,123.4,1960000,1504.89
2008,Dublin 6W,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1633.51
2008,Dublin 6W,Other flats,All bedrooms,0,47.33,123.4,1960000,707.53
2008,Dublin 7,Apartment,All bedrooms,0,47.33,123.4,1960000,1143.01
2008,Dublin 7,Terrace house,All bedrooms,0,47.33,123.4,1960000,1221.66
2008,Dublin 7,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1297.71
2008,Dublin 7,Other flats,All bedrooms,0,47.33,123.4,1960000,675.16
2008,Dublin 8,Apartment,All bedrooms,0,47.33,123.4,1960000,1163.34
2008,Dublin 8,Terrace house,All bedrooms,0,47.33,123.4,1960000,1273.56
2008,Dublin 8,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1304.93
2008,Dublin 8,Other flats,All bedrooms,0,47.33,123.4,1960000,694.76
2008,Dublin 9,Apartment,All bedrooms,0,47.33,123.4,1960000,1016.28
2008,Dublin 9,Terrace house,All bedrooms,0,47.33,123.4,1960000,1334.06
2008,Dublin 9,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1368.89
2008,Dublin 9,Other flats,All bedrooms,0,47.33,123.4,1960000,653.61
2008,Dublin 9,Other flats,1 to 3 bed,0,47.33,123.4,1960000,653.61
2008,Dublin,Apartment,All bedrooms,0,47.33,123.4,1960000,1263.13
2008,Dublin,Terrace house,All bedrooms,0,47.33,123.4,1960000,1270.66
2008,Dublin,Semi detached house,All bedrooms,0,47.33,123.4,1960000,1355.61
2008,Dublin,Detached house,All bedrooms,0,47.33,123.4,1960000,1693.36
2008,Dublin,Other flats,All bedrooms,0,47.33,123.4,1960000,837.32
2008,"Dun Laoghaire, Dublin",Terrace house,All bedrooms,0,47.33,123.4,1960000,1285.73
2008,"Dun Laoghaire, Dublin",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1334.84
2008,"Dun Laoghaire, Dublin",Apartment,All bedrooms,0,47.33,123.4,1960000,1334.84
2008,"Dun Laoghaire, Dublin",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1484.88
2008,"Dun Laoghaire, Dublin",Other flats,All bedrooms,0,47.33,123.4,1960000,804.6
2008,"Dundrum, Dublin 14",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1430.2
2008,"Dundrum, Dublin 14",Apartment,All bedrooms,0,47.33,123.4,1960000,1430.2
2008,"Dundrum, Dublin 14",Terrace house,All bedrooms,0,47.33,123.4,1960000,1558.61
2008,"Dundrum, Dublin 14",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1604.9
2008,"Dundrum, Dublin 16",Apartment,All bedrooms,0,47.33,123.4,1960000,1482.84
2008,"Dundrum, Dublin 16",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1482.84
2008,"Dundrum, Dublin 16",Semi detached house,All bedrooms,0,47.33,123.4,1960000,1628.85
2008,"East Wall, Dublin 3",Terrace house,All bedrooms,0,47.33,123.4,1960000,1180.23
2008,"East Wall, Dublin 3",Apartment,All bedrooms,0,47.33,123.4,1960000,1321.41
2008,"East Wall, Dublin 3",Apartment,1 to 3 bed,0,47.33,123.4,1960000,1321.41
2008,"Fairview, Dublin 3",Apartment,All bedrooms,0,47.33,123.4,1960000,1095.83
2008,"Fairview, Dublin 3",Terrace house,All bedrooms,0,47.33,123.4,1960000,1237.85
2008,"Fairview, Dublin 3",Other flats,All bedrooms,0,47.33,123.4,1960000,695.65
2008,"Fairview, Dublin 3",Other flats,1 to 2 bed,0,47.33,123.4,1960000,695.65
2008,"Fairview, Dublin 3",Other flats,1 to 3 bed,0,47.33,123.4,1960000,695.65
2008,"Finglas, Dublin 11",Apartment,All bedrooms,0,47.33,123.4,1960000,1148.91
